t,k,delta_cdm,delta_dot_cdm
5.93672721606912,0.001,7.901975467298969e+35,4.201874840967336e+34
6.0473224494626425,0.001,7.947929903312524e+35,4.1040740402533125e+34
6.1599779603801625,0.001,7.993642423629801e+35,4.0084987149066227e+34
6.274732129711574,0.001,8.039112226086993e+35,3.9151099704673196e+34
6.391624053343999,0.001,8.084339344358982e+35,3.823863591027915e+34
6.5106935554814545,0.001,8.129324594254837e+35,3.734710571389239e+34
6.6319812022126685,0.001,8.174069499778572e+35,3.6475977971433197e+34
6.755528315331639,0.001,8.218576196075664e+35,3.562468892383152e+34
6.881376986415662,0.001,8.262847306073082e+35,3.4792652568146647e+34
7.009570091165617,0.001,8.306885787277891e+35,3.3979273163164685e+34
7.140151304013395,0.001,8.35069474482422e+35,3.3183960134749707e+34
7.273165113001454,0.001,8.394277206447924e+35,3.240614567334823e+34
7.40865683493956,0.001,8.437635854619106e+35,3.1645305345674177e+34
7.5466726308438865,0.001,8.480772710571752e+35,3.090098207495092e+34
7.687259521663728,0.001,8.523688764433272e+35,3.017281387939332e+34
7.830465404301183,0.001,8.566383545070725e+35,2.946056579713248e+34
7.976339067929273,0.001,8.608854622630732e+35,2.876416646779458e+34
8.124930210614048,0.001,8.651097036051846e+35,2.8083749886743784e+34
8.276289456246344,0.001,8.693103081406333e+35,2.7419670770752098e+34
8.430468371788967,0.001,8.734885788356767e+35,2.6770749311450994e+34
8.58751948484517,0.001,8.776451660715606e+35,2.6136127859780744e+34
8.747496301554415,0.001,8.817795730085946e+35,2.551576689839468e+34
8.910453324821512,0.001,8.858913852804695e+35,2.490958768579562e+34
9.076446072885357,0.001,8.899802727764416e+35,2.4317472138068424e+34
9.24553109823357,0.001,8.940459906226644e+35,2.373926312426195e+34
9.417766006869519,0.001,8.98088379217735e+35,2.3174765242243034e+34
9.59320947793824,0.001,9.021073631604271e+35,2.2623746149406792e+34
9.771921283717996,0.001,9.061029488888117e+35,2.2085938530923727e+34
9.953962309984233,0.001,9.100752208293141e+35,2.1561042797302326e+34
10.139394576752917,0.001,9.140243358316212e+35,2.1048730613016294e+34
10.328281259410284,0.001,9.179505156404844e+35,2.0548649368866709e+34
