t,k,delta_fdm,delta_dot_fdm,scale_factor_a
17.968383907677193,0.01,0.0008866524465656841,3.289658186338537e-05,6.860240567724303
18.64408533970485,0.01,0.0009087330685564302,3.249536066450165e-05,7.031166594499679
19.34519653744044,0.01,0.0009313652586423107,3.209862242103034e-05,7.206351321293049
20.072673035625684,0.01,0.0009545642492856659,3.170624620579532e-05,7.385900855560286
20.827506301905142,0.01,0.000978345405324165,3.1318334368142915e-05,7.56992394847298
21.610725088083765,0.01,0.001002724298232812,3.0935044383961886e-05,7.758532060787832
22.42339683219845,0.01,0.001027716050727608,3.0555862203016355e-05,7.951839430357197
23.26662911331458,0.01,0.0010533333749408898,3.018099597728022e-05,8.149963141321694
24.14157116103018,0.01,0.0010795894429463239,2.9810681115456402e-05,8.353023195026775
25.049415421745024,0.01,0.0011064981578193605,2.9445087961407984e-05,8.561142582706221
25.99139918382933,0.01,0.0011340742276234107,2.9084316878286988e-05,8.774447359976572
26.968806263906924,0.01,0.001162333234423252,2.8728395322903685e-05,8.993066723187619
27.982968756551156,0.01,0.0011912916938881712,2.8377277745401896e-05,9.217133087675215
29.035268849778138,0.01,0.0012209670997557094,2.8030849358860433e-05,9.446782167963777
30.12714070881164,0.01,0.0012513779458479027,2.768893507658621e-05,9.682153059967082
31.260072430687003,0.01,0.0012825437164092107,2.735131521983517e-05,9.923388325237108
32.43560807235808,0.01,0.0013144848332022553,2.7017749965197687e-05,10.170634077312036
33.65534975507091,0.01,0.0013472225449752942,2.6688014940343683e-05,10.424040070215556
34.92095984787268,0.01,0.0013807787415110711,2.636195090268557e-05,10.683759789161257
36.23416323323146,0.01,0.0014151756703706694,2.6039531063596452e-05,10.949950543516922
37.59674965785464,0.01,0.0014504355565434334,2.572094299760595e-05,11.22277356208507
39.01057617190989,0.01,0.0014865817262091246,2.5405952419232502e-05,11.502394090757472
40.47756965997318,0.01,0.0015236342692903102,2.509443623147858e-05,11.788981492602757
41.99972946715302,0.01,0.001561612117976572,2.4786605434717208e-05,12.082709350447757
43.57913012397025,0.01,0.001600535233381134,2.4482619116130067e-05,12.383755572014708
45.21792417370697,0.01,0.0016404247124542468,2.418258005640459e-05,12.692302497677995
46.91834510607794,0.01,0.0016813028887381785,2.3886531806564404e-05,13.008537010905703
48.68271040122279,0.01,0.0017231934208779393,2.3594457878958576e-05,13.332650651452878
50.51342468816761,0.01,0.0017661213610098445,2.3306283859820635e-05,13.66483973137503
52.41298302206056,0.01,0.0018101131929574852,2.3021883448346283e-05,14.005305453932195
54.383974284647955,0.01,0.0018551968274929207,2.274108966539833e-05,14.354254035455513
56.42908471262536,0.01,0.0019014015386767593,2.2463712761354066e-05,14.7118968302502
58.55110155867238,0.01,0.0019487578213641965,2.218956669624579e-05,15.078450458610508
60.75291689016071,0.01,0.001997297145225075,2.1918506476780413e-05,15.454136938024245
