t,k,delta_cdm,delta_dot_cdm,scale_factor_a
1747.7727744646807,0.01,0.01875165110116636,7.1528075481426965e-06,145.09640313220356
1813.4978041964953,0.01,0.019218984738117825,7.065156487275828e-06,148.71154628089533
1881.6944249705555,0.01,0.01969798697955595,6.978544054791787e-06,152.41676237215083
1952.4555810168608,0.01,0.020188913323335077,6.893010575305135e-06,156.21429561446982
2025.8777117350173,0.01,0.02069203374778957,6.808580518419934e-06,160.10644613183175
2102.0608831301583,0.01,0.021207633838779518,6.7252619119115085e-06,164.0955713568554
2181.108924191515,0.01,0.021736015709004707,6.643046429361706e-06,168.18408745866972
2263.129568399525,0.01,0.022277498597294453,6.561910398202439e-06,172.3744708063617
2348.2346005542713,0.01,0.022832419005277514,6.481817033499935e-06,176.6692594688842
2436.540009125461,0.01,0.02340113019199363,6.4027202743252956e-06,181.07105475233757
2528.166144331495,0.01,0.02398400080235983,6.324570685476697e-06,185.58252277555158
2623.2378821631182,0.01,0.02458141235146267,6.247323990317774e-06,190.2063960849242
2721.884794575174,0.01,0.025193755221649065,6.170952923721228e-06,194.94547530949492
2824.2413260784297,0.01,0.025821422751260453,6.095463241254647e-06,199.8026308572547
2930.4469769721386,0.01,0.02646481291307077,6.020885005615097e-06,204.78080465372068
3040.6464934670626,0.01,0.027124344516400285,5.9471337640109795e-06,209.8830119238275
3154.9900649580823,0.01,0.027800367510135843,5.87423491808621e-06,215.11234301821636
3273.6335287152406,0.01,0.0284932383385706,5.802227339159642e-06,220.4719652850259
3396.7385822722026,0.01,0.029203333382176754,5.731136944783943e-06,225.96512498832024
3524.4730038015805,0.01,0.02993105064219977,5.660976030875493e-06,231.59514927431505
3657.0108807774855,0.01,0.030676811181954835,5.5917430984318754e-06,237.3654481865936
3794.5328472369342,0.01,0.03144106017959228,5.523423363425671e-06,243.2795167315323
3937.2263299634756,0.01,0.03222426740715881,5.45599018459435e-06,249.34093699518763
4085.2858039285575,0.01,0.03302692690215237,5.389407699463293e-06,255.55338031292604
4238.913057338775,0.01,0.03384955553876499,5.323635025823381e-06,261.92060949311133
4398.317466650219,0.01,0.03469269013463923,5.258632466133601e-06,268.44648109619607
4563.716281924754,0.01,0.035556882642881045,5.194370248401386e-06,275.13494777059793
4735.334922917111,0.01,0.03644269287550237,5.130840451912276e-06,281.99006064677496
4913.407286296357,0.01,0.037350678866435,5.068071693148046e-06,289.0159717909507
5098.17606442042,0.01,0.038281441909449036,5.0060221035592334e-06,296.2169367199748
5289.893076098146,0.01,0.03923551284743909,4.944671323858863e-06,303.59731697884285
5488.819609789666,0.01,0.040213389406226985,4.884055836842121e-06,311.1615827824358
5695.226779712819,0.01,0.04121559674022825,4.824201571641279e-06,318.9143157230798
5909.395895340965,0.01,0.04224268991635052,4.76512322226857e-06,326.8602115455665
6131.618844795769,0.01,0.04329525611624632,4.706823929330262e-06,335.00408299131306
6362.198492657482,0.01,0.044373916368620855,4.649295470056452e-06,343.35086271338747
6601.4490927348825,0.01,0.045479326570510625,4.592519137764555e-06,351.9056062641613
6849.69671635744,0.01,0.04661217749208895,4.5364675352899455e-06,360.67349515740256
7107.279696773411,0.01,0.04777319338136736,4.4811075591765904e-06,369.6598400066609
7374.549090259547,0.01,0.04896312869048252,4.426404914175184e-06,378.8700837418481
7651.869154570817,0.01,0.05018276233094208,4.372330572790578e-06,388.3098049059602
7939.617845382276,0.01,0.0514328887275403,4.318869684541447e-06,397.98472103394005
8238.1873313996,0.01,0.05271430477527087,4.2660335469317835e-06,407.90069211572427
8547.984528840405,0.01,0.05402783375614172,4.213828999454048e-06,418.0637241455755
8869.431656014704,0.01,0.05537429930019657,4.162201618856898e-06,428.4799727598459
9202.96680876041,0.01,0.05675440312280224,4.111180038748447e-06,439.1557469653788
9549.044557518077,0.01,0.05816887844713123,4.06078929970923e-06,450.0975129608043
9908.136566858666,0.01,0.059618499829971285,4.011045209917613e-06,461.3118980530445
10280.732238308647,0.01,0.06110408646800809,3.961953955195958e-06,472.80569467139986
10667.33937734857,0.01,0.06262650493967487,3.913512087460061e-06,484.5858644816492
11068.48488549412,0.01,0.06418667106822985,3.865707031672445e-06,496.6595426026535
11484.71547840289,0.01,0.06578555050639044,3.818518285377234e-06,509.03404192801867
11916.598430985588,0.01,0.06742415753905502,3.7719195258307668e-06,521.7168575554346
12364.722350537151,0.01,0.06910355147481045,3.725881888941233e-06,534.715671326373
12829.697978941475,0.01,0.07082482984483704,3.6803787432276533e-06,548.0383564788942
13312.159025043076,0.01,0.07258911744450805,3.6353923526096805e-06,561.6929824163806
13812.763028320094,0.01,0.07439755003256834,3.5909229061689726e-06,575.6878195950848
14332.192255035709,0.01,0.07625126804960264,3.546990819320133e-06,590.0313445334533
14871.154628089507,0.01,0.07815149354411305,3.5035497195252947e-06,604.7322449462637
15430.384691835614,0.01,0.08009925350115396,3.4606070140653725e-06,619.7994250066718
16010.644613183145,0.01,0.08209557221815363,3.4181863133391253e-06,635.2420107393751
16612.725220342894,0.01,0.08414153103897573,3.376303666076513e-06,651.0693555481447
17237.44708063616,0.01,0.08623827325445284,3.3349671439617e-06,667.2910458810778
17885.661618834583,0.01,0.0883870083322155,3.2941767076519266e-06,683.9169070370043
18558.25227755515,0.01,0.09058901506570163,3.2539244627275288e-06,700.957009116561
19256.135721291947,0.01,0.09284564311895961,3.214195440744632e-06,718.421673121542
19980.263085725466,0.01,0.0951583123058999,3.174969072684094e-06,736.3214772062138
20731.62127401227,0.01,0.09752850877521262,3.136221560728645e-06,754.6672630843879
21511.234301821627,0.01,0.09995777706959007,3.097929400669083e-06,773.4701425961265
22320.164692952298,0.01,0.10244770678348963,3.060074362768737e-06,792.7415044380618
23159.514927431497,0.01,0.10499991224956401,3.022650305283911e-06,812.4930210614039
24030.42894406965,0.01,0.10761600347351478,2.985672230815461e-06,832.7366557418151
24934.093699518755,0.01,0.11029770350958881,2.949122722404122e-06,853.4846698254347
25871.740785959184,0.01,0.11304657818960599,2.9129826098651453e-06,874.7496301554406
26844.648109619597,0.01,0.11586405912600554,2.8772737726981077e-06,896.5444166836479
27854.14163241763,0.01,0.1187516565679974,2.842011916121318e-06,918.8822302717531
28901.597179095057,0.01,0.12171096659401577,2.8072061589479685e-06,941.7766006869509
29988.442312310246,0.01,0.12474367751922258,2.7728588302168846e-06,965.2413947967642
31116.158278243565,0.01,0.12785157498297678,2.7389655587274697e-06,989.2908249680537
32286.282025367273,0.01,0.13103654503072654,2.70551576053315e-06,1013.9394576752907
33500.40829913129,0.01,0.13430057432128784,2.672493654681672e-06,1039.2022223233103
34760.191815419734,0.01,0.1376457463675127,2.6398799678698276e-06,1065.094420289888
36067.34951574024,0.01,0.1410742324483088,2.6076545251659796e-06,1091.6317341936135
37423.66290721977,0.01,0.14458827550387596,2.57579996767792e-06,1118.8302373926817
38830.980490596005,0.01,0.1481901649332677,2.544306890337636e-06,1146.7064037203472
40291.220279513436,0.01,0.15188219974148148,2.5131807554038824e-06,1175.2771174629438
41806.37241455753,0.01,0.15566674161581734,2.4824281065835246e-06,1204.55968358651
43378.50187558984,0.01,0.15954619107123005,2.452015540728988e-06,1234.5718382182163
45009.751296080416,0.01,0.1635225770196247,2.421958716772901e-06,1265.3317593889415
46702.34388327331,0.01,0.1675980095013823,2.3922726180538327e-06,1296.858078043506
48458.586448164904,0.01,0.17177471729646573,2.3629668095524144e-06,1329.169889325229
50280.87254942475,0.01,0.17605505749896086,2.334045200465698e-06,1362.2867641416453
52171.68575554343,0.01,0.18044152349458356,2.3055060263448236e-06,1396.2287610183898
54133.60302965376,0.01,0.18493675044342242,2.2773421324758023e-06,1431.016438248424
56169.29824163803,0.01,0.1895435171260371,2.24954166002033e-06,1466.6708663439667
58281.545812308395,0.01,0.19426474271401348,2.2220892603363516e-06,1503.2136407986727
60473.224494626425,0.01,0.19910347666595518,2.1949679916285317e-06,1540.6668951677825
62747.32129711574,0.01,0.2040628795145916,2.1681620865339325e-06,1579.053314474174
65106.93555481455,0.01,0.20914619178594415,2.141660820483907e-06,1618.396148948431
67555.2831533164,0.01,0.21435668766050991,2.1154637599408523e-06,1658.719228111249
